SALARY,Python,SQL,Microsoft_Excel,Data_Analysis,Machine_Learning,Power_BI,Tableau,Communication
115024.0,0,0,0,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,0
110155.0,1,1,0,1,0,1,1,0
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,1
92962.0,1,1,1,1,1,0,1,0
107645.0,1,0,0,1,0,0,0,1
115024.0,0,1,0,1,0,0,0,1
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,1
170000.0,1,1,0,1,0,0,0,1
110155.0,1,1,0,1,0,1,1,0
118560.0,1,1,0,1,1,0,1,0
115024.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,1,0,0,0,0
115024.0,1,1,1,0,0,0,1,1
115024.0,0,1,1,1,0,1,0,0
140756.0,1,1,0,1,1,1,1,1
115024.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,0,0,0,0,0
156038.0,1,1,0,1,1,0,1,1
115024.0,1,1,0,1,0,0,0,0
115024.0,0,1,1,1,0,1,0,1
84678.0,0,0,0,1,0,0,0,0
161200.0,0,1,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
110000.0,0,1,1,1,0,1,1,1
115024.0,0,1,0,0,0,0,0,1
97284.0,0,0,0,0,0,0,0,0
115024.0,0,1,0,0,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,1,0,0,0,0
161200.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,1,0,0,1
115024.0,0,0,0,0,0,0,0,0
161840.0,1,1,0,1,0,0,1,0
115024.0,1,1,0,1,1,0,0,1
64480.0,0,1,1,0,0,0,0,1
146325.0,1,1,0,0,0,1,0,1
103573.0,0,0,1,1,0,1,0,1
115024.0,0,0,1,0,0,0,0,0
104000.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,0,0,0,0,0
115024.0,1,1,0,1,0,1,0,0
139360.0,0,1,1,1,0,0,0,1
115024.0,0,1,1,0,0,0,0,0
115024.0,0,0,1,1,0,1,0,0
115024.0,0,0,1,1,0,0,0,1
115024.0,0,0,0,1,0,0,0,1
60923.0,0,0,1,1,0,0,0,1
115024.0,0,0,1,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
122500.0,0,1,0,1,0,0,1,1
61360.0,0,0,0,0,0,0,0,1
71000.0,1,1,0,1,1,0,0,0
115024.0,0,0,1,1,0,0,0,1
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,1,1,0,1,0,1
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,1,1,0,0,0,1
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,1
115024.0,1,1,0,1,0,1,0,0
115024.0,0,0,0,1,0,0,0,0
52987.0,0,1,0,1,0,0,0,0
115024.0,1,1,0,1,0,1,0,0
119240.0,1,0,0,1,1,0,1,1
55120.0,0,0,0,1,0,1,0,0
115024.0,1,1,0,1,0,0,1,0
140000.0,1,1,0,1,1,0,1,1
72800.0,0,1,0,1,0,1,1,0
74750.0,0,1,0,1,0,1,1,1
115024.0,1,0,0,0,1,1,1,1
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
67600.0,0,1,1,1,0,0,1,1
115024.0,0,0,0,1,0,0,0,1
104000.0,0,1,0,0,0,1,0,0
115024.0,0,1,1,0,0,0,0,0
115024.0,0,0,0,1,0,1,1,1
115024.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
84647.0,1,1,0,0,1,0,0,0
101798.0,0,0,1,1,0,1,0,1
115024.0,0,0,0,0,0,1,0,0
115024.0,0,0,0,1,0,0,0,0
207300.0,1,1,0,1,0,1,1,0
115024.0,0,0,0,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,0
66200.0,0,0,1,1,0,0,0,1
115024.0,0,0,0,1,0,0,0,1
135200.0,0,1,1,1,0,1,0,1
115024.0,0,1,0,1,0,0,1,1
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,0,1,1,0
115024.0,0,1,1,1,0,1,1,1
115024.0,0,1,1,0,0,0,0,1
115024.0,0,0,1,1,0,0,0,0
115024.0,0,0,1,0,0,0,0,1
115024.0,1,1,0,1,1,0,1,1
115024.0,1,1,0,1,0,0,1,0
70000.0,0,0,0,0,0,1,0,0
171600.0,0,1,0,0,0,0,1,0
69500.0,0,0,1,1,0,0,0,1
115024.0,0,1,0,0,0,1,0,1
47840.0,0,0,0,0,0,0,0,1
115024.0,1,1,0,1,0,0,0,1
